Tennessee, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.63,0.40
195106,6.16,1.93
195206,2.06,-2.17
195306,2.78,-1.45
195406,2.64,-1.59
195506,3.58,-0.65
195606,3.23,-1.00
195706,6.15,1.92
195806,3.13,-1.10
195906,3.75,-0.48
196006,5.29,1.06
196106,5.29,1.06
196206,5.19,0.96
196306,3.87,-0.36
196406,2.22,-2.01
196506,4.25,0.02
196606,1.89,-2.34
196706,3.74,-0.49
196806,2.65,-1.58
196906,4.41,0.18
197006,6.08,1.85
197106,3.83,-0.40
197206,3.45,-0.78
197306,4.65,0.42
197406,5.35,1.12
197506,3.23,-1.00
197606,5.53,1.30
197706,5.01,0.78
197806,3.80,-0.43
197906,3.61,-0.62
198006,2.97,-1.26
198106,5.51,1.28
198206,3.11,-1.12
198306,3.69,-0.54
198406,2.59,-1.64
198506,4.52,0.29
198606,3.60,-0.63
198706,3.88,-0.35
198806,0.61,-3.62
198906,8.78,4.55
199006,2.91,-1.32
199106,4.48,0.25
199206,6.09,1.86
199306,3.37,-0.86
199406,5.94,1.71
199506,4.49,0.26
199606,4.63,0.40
199706,7.56,3.33
199806,8.09,3.86
199906,5.64,1.41
200006,4.19,-0.04
200106,4.36,0.13
200206,2.45,-1.78
200306,5.15,0.92
200406,5.83,1.60
200506,4.22,-0.01
200606,3.38,-0.85
200706,2.86,-1.37
200806,2.48,-1.75
200906,3.66,-0.57
201006,3.33,-0.90
201106,5.68,1.45
201206,2.15,-2.08
201306,5.83,1.60
201406,6.82,2.59
201506,4.76,0.53
201606,3.99,-0.24
201706,4.37,0.14
201806,5.74,1.51
201906,6.46,2.23
202006,3.88,-0.35
202106,4.53,0.30
