Texas, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.24,-1.54
195112,0.70,-1.08
195212,2.10,0.32
195312,1.66,-0.12
195412,0.75,-1.03
195512,0.66,-1.12
195612,1.41,-0.37
195712,0.95,-0.83
195812,0.84,-0.94
195912,2.69,0.91
196012,3.86,2.08
196112,1.37,-0.41
196212,1.62,-0.16
196312,1.28,-0.50
196412,1.20,-0.58
196512,2.47,0.69
196612,0.80,-0.98
196712,1.85,0.07
196812,1.29,-0.49
196912,2.28,0.50
197012,0.49,-1.29
197112,2.80,1.02
197212,0.83,-0.95
197312,0.93,-0.85
197412,1.65,-0.13
197512,1.21,-0.57
197612,1.95,0.17
197712,0.56,-1.22
197812,1.25,-0.53
197912,2.09,0.31
198012,1.11,-0.67
198112,0.48,-1.30
198212,2.72,0.94
198312,1.09,-0.69
198412,2.91,1.13
198512,0.98,-0.80
198612,3.30,1.52
198712,2.61,0.83
198812,1.37,-0.41
198912,0.67,-1.11
199012,1.07,-0.71
199112,5.59,3.81
199212,2.25,0.47
199312,1.45,-0.33
199412,2.75,0.97
199512,1.57,-0.21
199612,1.05,-0.73
199712,2.84,1.06
199812,1.72,-0.06
199912,1.20,-0.58
200012,1.75,-0.03
200112,2.27,0.49
200212,3.11,1.33
200312,0.71,-1.07
200412,0.81,-0.97
200512,0.45,-1.33
200612,2.50,0.72
200712,1.22,-0.56
200812,0.52,-1.26
200912,2.22,0.44
201012,0.73,-1.05
201112,2.86,1.08
201212,0.97,-0.81
201312,1.36,-0.42
201412,1.22,-0.56
201512,2.52,0.74
201612,2.10,0.32
201712,1.96,0.18
201812,3.34,1.56
201912,0.88,-0.90
202012,1.82,0.04
202112,0.64,-1.14
