Texas, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,0.57,-1.09
195103,1.86,0.20
195203,1.42,-0.24
195303,1.66,0.00
195403,0.38,-1.28
195503,0.76,-0.90
195603,0.43,-1.23
195703,2.87,1.21
195803,1.85,0.19
195903,0.59,-1.07
196003,1.01,-0.65
196103,1.67,0.01
196203,0.85,-0.81
196303,0.52,-1.14
196403,1.72,0.06
196503,1.14,-0.52
196603,0.73,-0.93
196703,1.00,-0.66
196803,2.26,0.60
196903,2.47,0.81
197003,2.58,0.92
197103,0.28,-1.38
197203,0.83,-0.83
197303,2.93,1.27
197403,1.44,-0.22
197503,1.06,-0.60
197603,1.58,-0.08
197703,2.05,0.39
197803,0.84,-0.82
197903,2.90,1.24
198003,1.51,-0.15
198103,2.22,0.56
198203,1.10,-0.56
198303,2.32,0.66
198403,1.53,-0.13
198503,2.61,0.95
198603,0.58,-1.08
198703,1.34,-0.32
198803,1.67,0.01
198903,1.86,0.20
199003,3.14,1.48
199103,1.01,-0.65
199203,2.24,0.58
199303,2.42,0.76
199403,1.77,0.11
199503,2.21,0.55
199603,0.75,-0.91
199703,2.42,0.76
199803,2.35,0.69
199903,2.84,1.18
200003,2.36,0.70
200103,3.25,1.59
200203,1.98,0.32
200303,1.13,-0.53
200403,2.35,0.69
200503,1.80,0.14
200603,2.07,0.41
200703,4.47,2.81
200803,2.34,0.68
200903,2.21,0.55
201003,1.87,0.21
201103,0.27,-1.39
201203,3.07,1.41
201303,0.66,-1.00
201403,1.11,-0.55
201503,3.47,1.81
201603,2.85,1.19
201703,1.88,0.22
201803,1.96,0.30
201903,1.21,-0.45
202003,3.17,1.51
202103,1.31,-0.35
