Texas, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.84,0.91
195109,3.36,0.43
195209,1.86,-1.07
195309,1.30,-1.63
195409,0.93,-2.00
195509,2.98,0.05
195609,0.54,-2.39
195709,3.46,0.53
195809,5.86,2.93
195909,1.85,-1.08
196009,1.91,-1.02
196109,3.37,0.44
196209,4.33,1.40
196309,2.07,-0.86
196409,4.85,1.92
196509,3.05,0.12
196609,3.48,0.55
196709,5.60,2.67
196809,3.32,0.39
196909,3.00,0.07
197009,4.74,1.81
197109,4.76,1.83
197209,3.63,0.70
197309,5.19,2.26
197409,6.32,3.39
197509,2.55,-0.38
197609,4.14,1.21
197709,1.48,-1.45
197809,4.60,1.67
197909,2.70,-0.23
198009,5.51,2.58
198109,2.33,-0.60
198209,1.25,-1.68
198309,2.06,-0.87
198409,2.04,-0.89
198509,3.99,1.06
198609,3.88,0.95
198709,2.82,-0.11
198809,3.52,0.59
198909,2.12,-0.81
199009,3.73,0.80
199109,4.80,1.87
199209,1.86,-1.07
199309,2.09,-0.84
199409,2.50,-0.43
199509,3.66,0.73
199609,4.08,1.15
199709,2.15,-0.78
199809,3.39,0.46
199909,1.57,-1.36
200009,1.18,-1.75
200109,3.23,0.30
200209,2.99,0.06
200309,3.91,0.98
200409,2.55,-0.38
200509,1.41,-1.52
200609,3.27,0.34
200709,2.68,-0.25
200809,2.85,-0.08
200909,4.20,1.27
201009,4.31,1.38
201109,1.14,-1.79
201209,3.95,1.02
201309,4.05,1.12
201409,3.59,0.66
201509,1.43,-1.50
201609,2.96,0.03
201709,2.61,-0.32
201809,6.71,3.78
201909,2.43,-0.50
202009,4.21,1.28
202109,1.41,-1.52
