New Mexico, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.05,-0.69
195112,0.80,0.06
195212,0.47,-0.27
195312,0.45,-0.29
195412,0.24,-0.50
195512,0.31,-0.43
195612,0.13,-0.61
195712,0.16,-0.58
195812,0.22,-0.52
195912,1.33,0.59
196012,1.34,0.60
196112,0.97,0.23
196212,0.81,0.07
196312,0.14,-0.60
196412,0.64,-0.10
196512,1.75,1.01
196612,0.53,-0.21
196712,1.37,0.63
196812,0.53,-0.21
196912,0.90,0.16
197012,0.25,-0.49
197112,1.10,0.36
197212,0.60,-0.14
197312,0.20,-0.54
197412,0.68,-0.06
197512,0.41,-0.33
197612,0.07,-0.67
197712,0.26,-0.48
197812,1.22,0.48
197912,0.68,-0.06
198012,0.24,-0.50
198112,0.10,-0.64
198212,1.60,0.86
198312,0.86,0.12
198412,1.84,1.10
198512,0.21,-0.53
198612,1.52,0.78
198712,1.33,0.59
198812,0.49,-0.25
198912,0.35,-0.39
199012,1.06,0.32
199112,2.58,1.84
199212,1.42,0.68
199312,0.25,-0.49
199412,1.02,0.28
199512,0.42,-0.32
199612,0.13,-0.61
199712,1.82,1.08
199812,0.39,-0.35
199912,0.36,-0.38
200012,0.48,-0.26
200112,0.41,-0.33
200212,1.17,0.43
200312,0.22,-0.52
200412,0.73,-0.01
200512,0.07,-0.67
200612,1.02,0.28
200712,1.47,0.73
200812,0.87,0.13
200912,0.96,0.22
201012,0.67,-0.07
201112,1.83,1.09
201212,0.62,-0.12
201312,0.40,-0.34
201412,0.75,0.01
201512,1.05,0.31
201612,1.11,0.37
201712,0.11,-0.63
201812,0.91,0.17
201912,0.74,0.00
202012,0.40,-0.34
202112,0.52,-0.22
