Texas, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,3.81,0.44
195105,3.36,-0.01
195205,3.48,0.11
195305,3.16,-0.21
195405,3.75,0.38
195505,3.69,0.32
195605,2.51,-0.86
195705,5.69,2.32
195805,2.88,-0.49
195905,3.54,0.17
196005,1.51,-1.86
196105,1.68,-1.69
196205,1.13,-2.24
196305,2.93,-0.44
196405,2.35,-1.02
196505,5.24,1.87
196605,3.05,-0.32
196705,2.96,-0.41
196805,4.47,1.10
196905,4.18,0.81
197005,3.38,0.01
197105,2.21,-1.16
197205,4.01,0.64
197305,1.68,-1.69
197405,2.94,-0.43
197505,5.10,1.73
197605,3.39,0.02
197705,2.28,-1.09
197805,3.03,-0.34
197905,3.87,0.50
198005,4.54,1.17
198105,4.33,0.96
198205,5.38,2.01
198305,3.62,0.25
198405,2.20,-1.17
198505,2.68,-0.69
198605,4.49,1.12
198705,5.47,2.10
198805,1.98,-1.39
198905,3.95,0.58
199005,3.20,-0.17
199105,3.62,0.25
199205,5.09,1.72
199305,3.46,0.09
199405,4.52,1.15
199505,4.67,1.30
199605,1.34,-2.03
199705,3.52,0.15
199805,0.70,-2.67
199905,3.66,0.29
200005,3.13,-0.24
200105,3.02,-0.35
200205,1.90,-1.47
200305,1.50,-1.87
200405,2.39,-0.98
200505,2.89,-0.48
200605,2.20,-1.17
200705,5.54,2.17
200805,2.29,-1.08
200905,2.30,-1.07
201005,2.27,-1.10
201105,1.56,-1.81
201205,2.88,-0.49
201305,2.42,-0.95
201405,4.10,0.73
201505,9.05,5.68
201605,4.86,1.49
201705,2.54,-0.83
201805,2.08,-1.29
201905,5.23,1.86
202005,3.54,0.17
202105,6.23,2.86
