Ohio, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,2.83,-0.54
195103,4.41,1.04
195203,3.91,0.54
195303,2.76,-0.61
195403,3.75,0.38
195503,4.74,1.37
195603,4.26,0.89
195703,1.67,-1.70
195803,1.27,-2.10
195903,2.46,-0.91
196003,1.18,-2.19
196103,4.32,0.95
196203,2.76,-0.61
196303,6.26,2.89
196403,7.69,4.32
196503,2.91,-0.46
196603,1.76,-1.61
196703,4.33,0.96
196803,3.15,-0.22
196903,1.44,-1.93
197003,2.80,-0.57
197103,1.91,-1.46
197203,3.16,-0.21
197303,4.07,0.70
197403,3.74,0.37
197503,3.85,0.48
197603,2.99,-0.38
197703,3.90,0.53
197803,2.58,-0.79
197903,1.58,-1.79
198003,4.48,1.11
198103,1.47,-1.90
198203,4.21,0.84
198303,2.14,-1.23
198403,3.43,0.06
198503,4.18,0.81
198603,2.37,-1.00
198703,2.51,-0.86
198803,2.41,-0.96
198903,4.01,0.64
199003,1.83,-1.54
199103,3.53,0.16
199203,3.39,0.02
199303,3.50,0.13
199403,2.84,-0.53
199503,1.81,-1.56
199603,3.10,-0.27
199703,5.01,1.64
199803,2.75,-0.62
199903,1.93,-1.44
200003,2.48,-0.89
200103,1.79,-1.58
200203,3.77,0.40
200303,2.18,-1.19
200403,3.26,-0.11
200503,2.59,-0.78
200603,2.66,-0.71
200703,4.07,0.70
200803,6.41,3.04
200903,2.47,-0.90
201003,2.85,-0.52
201103,4.24,0.87
201203,3.09,-0.28
201303,2.42,-0.95
201403,2.00,-1.37
201503,3.52,0.15
201603,4.01,0.64
201703,4.50,1.13
201803,3.30,-0.07
201903,3.54,0.17
202003,4.98,1.61
202103,2.98,-0.39
