Tennessee, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.47,-1.56
195110,2.54,-0.49
195210,1.32,-1.71
195310,0.76,-2.27
195410,2.32,-0.71
195510,2.56,-0.47
195610,2.42,-0.61
195710,3.46,0.43
195810,1.05,-1.98
195910,4.49,1.46
196010,3.43,0.40
196110,1.95,-1.08
196210,3.08,0.05
196310,0.03,-3.00
196410,3.03,0.00
196510,1.67,-1.36
196610,3.61,0.58
196710,2.91,-0.12
196810,3.07,0.04
196910,2.31,-0.72
197010,5.30,2.27
197110,2.35,-0.68
197210,5.45,2.42
197310,3.26,0.23
197410,1.87,-1.16
197510,5.09,2.06
197610,5.74,2.71
197710,4.05,1.02
197810,1.80,-1.23
197910,2.80,-0.23
198010,2.34,-0.69
198110,4.26,1.23
198210,2.39,-0.64
198310,3.71,0.68
198410,7.07,4.04
198510,3.76,0.73
198610,4.00,0.97
198710,0.96,-2.07
198810,2.89,-0.14
198910,3.51,0.48
199010,5.14,2.11
199110,2.67,-0.36
199210,2.68,-0.35
199310,2.55,-0.48
199410,3.61,0.58
199510,4.95,1.92
199610,3.07,0.04
199710,3.15,0.12
199810,2.45,-0.58
199910,2.55,-0.48
200010,0.35,-2.68
200110,4.54,1.51
200210,5.23,2.20
200310,2.03,-1.00
200410,5.29,2.26
200510,0.62,-2.41
200610,3.65,0.62
200710,4.73,1.70
200810,3.26,0.23
200910,6.81,3.78
201010,2.75,-0.28
201110,2.55,-0.48
201210,4.09,1.06
201310,1.85,-1.18
201410,7.01,3.98
201510,3.96,0.93
201610,0.73,-2.30
201710,4.92,1.89
201810,3.57,0.54
201910,7.28,4.25
202010,4.97,1.94
202110,5.29,2.26
