Pennsylvania, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.98,-0.19
195110,2.10,-1.07
195210,1.40,-1.77
195310,1.84,-1.33
195410,5.46,2.29
195510,6.19,3.02
195610,2.63,-0.54
195710,2.56,-0.61
195810,2.33,-0.84
195910,6.03,2.86
196010,1.59,-1.58
196110,2.09,-1.08
196210,3.44,0.27
196310,0.22,-2.95
196410,1.34,-1.83
196510,3.51,0.34
196610,2.18,-0.99
196710,3.40,0.23
196810,2.98,-0.19
196910,2.29,-0.88
197010,4.51,1.34
197110,2.51,-0.66
197210,2.70,-0.47
197310,3.41,0.24
197410,1.38,-1.79
197510,3.53,0.36
197610,6.91,3.74
197710,4.12,0.95
197810,3.23,0.06
197910,4.33,1.16
198010,3.34,0.17
198110,4.44,1.27
198210,1.25,-1.92
198310,4.04,0.87
198410,2.84,-0.33
198510,2.34,-0.83
198610,3.38,0.21
198710,2.55,-0.62
198810,2.41,-0.76
198910,3.89,0.72
199010,5.81,2.64
199110,1.98,-1.19
199210,2.03,-1.14
199310,3.15,-0.02
199410,1.13,-2.04
199510,6.47,3.30
199610,4.71,1.54
199710,1.58,-1.59
199810,3.08,-0.09
199910,2.28,-0.89
200010,2.37,-0.80
200110,2.15,-1.02
200210,5.06,1.89
200310,4.19,1.02
200410,2.61,-0.56
200510,6.50,3.33
200610,5.35,2.18
200710,3.89,0.72
200810,2.71,-0.46
200910,4.77,1.60
201010,5.15,1.98
201110,4.96,1.79
201210,5.58,2.41
201310,3.65,0.48
201410,3.73,0.56
201510,3.78,0.61
201610,4.31,1.14
201710,5.09,1.92
201810,4.28,1.11
201910,5.61,2.44
202010,3.63,0.46
202110,4.61,1.44
