Ohio, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,5.00,2.23
195111,4.16,1.39
195211,1.91,-0.86
195311,1.20,-1.57
195411,1.53,-1.24
195511,3.51,0.74
195611,1.59,-1.18
195711,3.16,0.39
195811,2.99,0.22
195911,3.41,0.64
196011,2.08,-0.69
196111,2.95,0.18
196211,2.81,0.04
196311,1.79,-0.98
196411,1.94,-0.83
196511,1.98,-0.79
196611,4.76,1.99
196711,3.23,0.46
196811,3.75,0.98
196911,3.17,0.40
197011,2.66,-0.11
197111,1.83,-0.94
197211,5.30,2.53
197311,4.00,1.23
197411,3.32,0.55
197511,1.75,-1.02
197611,0.63,-2.14
197711,2.79,0.02
197811,2.01,-0.76
197911,3.74,0.97
198011,1.88,-0.89
198111,1.77,-1.00
198211,5.07,2.30
198311,4.75,1.98
198411,3.77,1.00
198511,9.06,6.29
198611,3.56,0.79
198711,1.82,-0.95
198811,4.28,1.51
198911,2.69,-0.08
199011,2.09,-0.68
199111,1.82,-0.95
199211,4.51,1.74
199311,4.72,1.95
199411,3.08,0.31
199511,2.64,-0.13
199611,3.40,0.63
199711,2.64,-0.13
199811,1.65,-1.12
199911,2.49,-0.28
200011,1.80,-0.97
200111,2.98,0.21
200211,2.89,0.12
200311,3.65,0.88
200411,3.61,0.84
200511,3.46,0.69
200611,2.17,-0.60
200711,3.24,0.47
200811,2.40,-0.37
200911,0.98,-1.79
201011,4.14,1.37
201111,5.42,2.65
201211,0.83,-1.94
201311,2.96,0.19
201411,1.93,-0.84
201511,2.24,-0.53
201611,1.31,-1.46
201711,5.14,2.37
201811,5.16,2.39
201911,2.19,-0.58
202011,2.51,-0.26
202111,1.56,-1.21
