Minnesota, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.97,0.05
195110,2.28,0.36
195210,0.18,-1.74
195310,0.59,-1.33
195410,1.67,-0.25
195510,1.27,-0.65
195610,1.52,-0.40
195710,1.61,-0.31
195810,1.09,-0.83
195910,2.34,0.42
196010,1.22,-0.70
196110,1.73,-0.19
196210,0.88,-1.04
196310,0.87,-1.05
196410,0.49,-1.43
196510,1.48,-0.44
196610,2.26,0.34
196710,1.37,-0.55
196810,4.19,2.27
196910,2.63,0.71
197010,4.62,2.70
197110,5.81,3.89
197210,1.99,0.07
197310,2.85,0.93
197410,1.52,-0.40
197510,1.33,-0.59
197610,0.50,-1.42
197710,2.73,0.81
197810,0.48,-1.44
197910,3.39,1.47
198010,1.39,-0.53
198110,3.49,1.57
198210,4.29,2.37
198310,2.47,0.55
198410,5.31,3.39
198510,1.89,-0.03
198610,1.03,-0.89
198710,0.81,-1.11
198810,0.70,-1.22
198910,0.95,-0.97
199010,2.42,0.50
199110,1.39,-0.53
199210,1.13,-0.79
199310,0.82,-1.10
199410,2.80,0.88
199510,3.71,1.79
199610,3.36,1.44
199710,2.41,0.49
199810,4.29,2.37
199910,1.07,-0.85
200010,1.97,0.05
200110,2.04,0.12
200210,2.63,0.71
200310,1.14,-0.78
200410,2.88,0.96
200510,2.96,1.04
200610,1.19,-0.73
200710,4.68,2.76
200810,3.46,1.54
200910,5.06,3.14
201010,2.25,0.33
201110,0.98,-0.94
201210,1.88,-0.04
201310,3.34,1.42
201410,1.19,-0.73
201510,2.15,0.23
201610,2.17,0.25
201710,3.26,1.34
201810,3.57,1.65
201910,4.22,2.30
202010,1.87,-0.05
202110,3.31,1.39
