New Hampshire, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.71,0.13
195112,4.46,0.88
195212,5.79,2.21
195312,4.18,0.60
195412,4.11,0.53
195512,1.21,-2.37
195612,4.10,0.52
195712,6.02,2.44
195812,1.61,-1.97
195912,4.02,0.44
196012,2.47,-1.11
196112,3.25,-0.33
196212,3.74,0.16
196312,2.34,-1.24
196412,3.64,0.06
196512,2.01,-1.57
196612,3.12,-0.46
196712,4.76,1.18
196812,6.35,2.77
196912,7.53,3.95
197012,4.37,0.79
197112,3.51,-0.07
197212,6.03,2.45
197312,8.99,5.41
197412,3.82,0.24
197512,4.31,0.73
197612,2.99,-0.59
197712,5.29,1.71
197812,3.39,-0.19
197912,2.23,-1.35
198012,1.51,-2.07
198112,4.57,0.99
198212,1.79,-1.79
198312,6.23,2.65
198412,3.57,-0.01
198512,2.16,-1.42
198612,4.25,0.67
198712,2.38,-1.20
198812,1.47,-2.11
198912,1.41,-2.17
199012,5.40,1.82
199112,3.69,0.11
199212,2.55,-1.03
199312,4.20,0.62
199412,4.00,0.42
199512,3.11,-0.47
199612,6.49,2.91
199712,2.79,-0.79
199812,1.72,-1.86
199912,1.90,-1.68
200012,4.56,0.98
200112,2.58,-1.00
200212,3.53,-0.05
200312,6.77,3.19
200412,4.39,0.81
200512,4.21,0.63
200612,3.65,0.07
200712,4.73,1.15
200812,6.15,2.57
200912,4.43,0.85
201012,4.30,0.72
201112,4.22,0.64
201212,5.43,1.85
201312,3.68,0.10
201412,5.47,1.89
201512,5.43,1.85
201612,4.19,0.61
201712,3.47,-0.11
201812,3.50,-0.08
201912,5.04,1.46
202012,4.97,1.39
202112,3.48,-0.10
