Indiana, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.48,-1.37
195110,2.78,-0.07
195210,1.11,-1.74
195310,1.26,-1.59
195410,6.15,3.30
195510,4.65,1.80
195610,1.05,-1.80
195710,3.43,0.58
195810,1.46,-1.39
195910,3.93,1.08
196010,1.95,-0.90
196110,2.37,-0.48
196210,3.03,0.18
196310,0.45,-2.40
196410,0.47,-2.38
196510,2.62,-0.23
196610,1.55,-1.30
196710,4.54,1.69
196810,1.46,-1.39
196910,3.83,0.98
197010,3.92,1.07
197110,2.11,-0.74
197210,2.54,-0.31
197310,2.71,-0.14
197410,1.59,-1.26
197510,2.83,-0.02
197610,3.08,0.23
197710,3.63,0.78
197810,2.78,-0.07
197910,2.68,-0.17
198010,2.30,-0.55
198110,2.54,-0.31
198210,1.61,-1.24
198310,5.86,3.01
198410,3.97,1.12
198510,3.91,1.06
198610,4.40,1.55
198710,1.71,-1.14
198810,3.35,0.50
198910,1.92,-0.93
199010,5.14,2.29
199110,5.14,2.29
199210,1.68,-1.17
199310,3.32,0.47
199410,1.40,-1.45
199510,2.99,0.14
199610,2.22,-0.63
199710,1.61,-1.24
199810,3.55,0.70
199910,2.02,-0.83
200010,2.33,-0.52
200110,7.75,4.90
200210,2.87,0.02
200310,2.40,-0.45
200410,4.14,1.29
200510,1.24,-1.61
200610,5.01,2.16
200710,3.81,0.96
200810,2.23,-0.62
200910,6.69,3.84
201010,1.17,-1.68
201110,3.29,0.44
201210,3.95,1.10
201310,4.12,1.27
201410,4.13,1.28
201510,2.42,-0.43
201610,2.61,-0.24
201710,4.32,1.47
201810,2.82,-0.03
201910,4.29,1.44
202010,4.44,1.59
202110,6.08,3.23
