Ohio, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.32,-0.23
195110,1.89,-0.66
195210,1.00,-1.55
195310,0.71,-1.84
195410,5.69,3.14
195510,3.70,1.15
195610,1.15,-1.40
195710,2.37,-0.18
195810,1.29,-1.26
195910,4.61,2.06
196010,1.78,-0.77
196110,1.98,-0.57
196210,2.64,0.09
196310,0.23,-2.32
196410,0.93,-1.62
196510,3.95,1.40
196610,1.56,-0.99
196710,2.53,-0.02
196810,1.99,-0.56
196910,1.87,-0.68
197010,3.33,0.78
197110,1.65,-0.90
197210,1.83,-0.72
197310,3.52,0.97
197410,1.20,-1.35
197510,2.94,0.39
197610,3.01,0.46
197710,2.82,0.27
197810,4.02,1.47
197910,2.11,-0.44
198010,2.24,-0.31
198110,2.48,-0.07
198210,0.85,-1.70
198310,5.71,3.16
198410,3.02,0.47
198510,2.98,0.43
198610,3.89,1.34
198710,1.74,-0.81
198810,2.39,-0.16
198910,2.55,0.00
199010,4.44,1.89
199110,2.05,-0.50
199210,1.75,-0.80
199310,2.86,0.31
199410,0.90,-1.65
199510,4.37,1.82
199610,2.33,-0.22
199710,1.52,-1.03
199810,2.95,0.40
199910,2.15,-0.40
200010,2.20,-0.35
200110,4.62,2.07
200210,2.96,0.41
200310,2.53,-0.02
200410,2.74,0.19
200510,2.65,0.10
200610,5.67,3.12
200710,3.23,0.68
200810,1.85,-0.70
200910,4.16,1.61
201010,1.93,-0.62
201110,4.36,1.81
201210,4.47,1.92
201310,3.64,1.09
201410,2.97,0.42
201510,2.76,0.21
201610,2.93,0.38
201710,3.77,1.22
201810,2.77,0.22
201910,3.80,1.25
202010,4.19,1.64
202110,4.64,2.09
