Ohio, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,4.46,1.46
195109,3.11,0.11
195209,2.90,-0.10
195309,1.57,-1.43
195409,1.55,-1.45
195509,2.77,-0.23
195609,2.34,-0.66
195709,3.79,0.79
195809,3.69,0.69
195909,2.06,-0.94
196009,1.31,-1.69
196109,2.63,-0.37
196209,3.93,0.93
196309,0.94,-2.06
196409,1.63,-1.37
196509,4.99,1.99
196609,2.91,-0.09
196709,2.78,-0.22
196809,2.58,-0.42
196909,2.91,-0.09
197009,3.76,0.76
197109,3.98,0.98
197209,5.59,2.59
197309,2.06,-0.94
197409,3.79,0.79
197509,5.06,2.06
197609,3.17,0.17
197709,3.68,0.68
197809,1.39,-1.61
197909,5.07,2.07
198009,2.07,-0.93
198109,3.74,0.74
198209,2.38,-0.62
198309,2.34,-0.66
198409,2.54,-0.46
198509,1.07,-1.93
198609,4.52,1.52
198709,1.90,-1.10
198809,3.15,0.15
198909,3.81,0.81
199009,4.25,1.25
199109,2.65,-0.35
199209,3.37,0.37
199309,3.85,0.85
199409,1.81,-1.19
199509,1.42,-1.58
199609,5.40,2.40
199709,2.21,-0.79
199809,1.46,-1.54
199909,1.85,-1.15
200009,3.94,0.94
200109,3.09,0.09
200209,4.11,1.11
200309,5.96,2.96
200409,4.31,1.31
200509,3.36,0.36
200609,4.79,1.79
200709,2.37,-0.63
200809,2.52,-0.48
200909,2.67,-0.33
201009,2.11,-0.89
201109,5.89,2.89
201209,5.10,2.10
201309,2.63,-0.37
201409,2.19,-0.81
201509,3.07,0.07
201609,3.72,0.72
201709,1.87,-1.13
201809,6.30,3.30
201909,1.74,-1.26
202009,3.18,0.18
202109,3.79,0.79
