Tennessee, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,4.31,0.91
195109,4.46,1.06
195209,2.88,-0.52
195309,1.97,-1.43
195409,2.29,-1.11
195509,2.85,-0.55
195609,1.71,-1.69
195709,6.54,3.14
195809,4.39,0.99
195909,2.74,-0.66
196009,4.11,0.71
196109,1.74,-1.66
196209,5.32,1.92
196309,1.53,-1.87
196409,3.78,0.38
196509,4.10,0.70
196609,3.56,0.16
196709,2.69,-0.71
196809,3.34,-0.06
196909,2.99,-0.41
197009,3.95,0.55
197109,3.42,0.02
197209,5.20,1.80
197309,3.10,-0.30
197409,4.91,1.51
197509,5.99,2.59
197609,3.57,0.17
197709,7.97,4.57
197809,1.30,-2.10
197909,6.99,3.59
198009,3.45,0.05
198109,2.99,-0.41
198209,3.42,0.02
198309,1.65,-1.75
198409,1.30,-2.10
198509,2.44,-0.96
198609,4.00,0.60
198709,3.50,0.10
198809,5.11,1.71
198909,6.72,3.32
199009,3.11,-0.29
199109,3.03,-0.37
199209,4.60,1.20
199309,4.19,0.79
199409,2.91,-0.49
199509,3.36,-0.04
199609,6.41,3.01
199709,4.60,1.20
199809,1.13,-2.27
199909,1.29,-2.11
200009,3.38,-0.02
200109,3.57,0.17
200209,7.30,3.90
200309,5.64,2.24
200409,4.35,0.95
200509,2.63,-0.77
200609,4.67,1.27
200709,3.02,-0.38
200809,1.26,-2.14
200909,7.13,3.73
201009,2.02,-1.38
201109,6.56,3.16
201209,5.81,2.41
201309,3.72,0.32
201409,2.22,-1.18
201509,2.73,-0.67
201609,1.80,-1.60
201709,4.31,0.91
201809,7.29,3.89
201909,0.50,-2.90
202009,4.37,0.97
202109,4.87,1.47
