Ohio, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,2.28,-0.47
195112,4.71,1.96
195212,2.54,-0.21
195312,1.96,-0.79
195412,2.37,-0.38
195512,0.51,-2.24
195612,3.19,0.44
195712,4.22,1.47
195812,0.76,-1.99
195912,2.52,-0.23
196012,1.42,-1.33
196112,2.45,-0.30
196212,1.82,-0.93
196312,1.08,-1.67
196412,3.83,1.08
196512,1.22,-1.53
196612,3.16,0.41
196712,3.51,0.76
196812,3.38,0.63
196912,2.43,-0.32
197012,2.74,-0.01
197112,3.89,1.14
197212,3.46,0.71
197312,2.78,0.03
197412,3.24,0.49
197512,3.29,0.54
197612,1.02,-1.73
197712,4.02,1.27
197812,4.41,1.66
197912,2.37,-0.38
198012,1.64,-1.11
198112,2.64,-0.11
198212,3.66,0.91
198312,3.28,0.53
198412,3.11,0.36
198512,2.02,-0.73
198612,2.87,0.12
198712,2.90,0.15
198812,2.28,-0.47
198912,1.62,-1.13
199012,7.53,4.78
199112,3.19,0.44
199212,1.81,-0.94
199312,2.06,-0.69
199412,2.56,-0.19
199512,2.09,-0.66
199612,3.78,1.03
199712,2.22,-0.53
199812,2.07,-0.68
199912,2.64,-0.11
200012,3.08,0.33
200112,2.75,0.00
200212,2.78,0.03
200312,2.79,0.04
200412,3.23,0.48
200512,1.83,-0.92
200612,3.04,0.29
200712,4.60,1.85
200812,4.54,1.79
200912,3.04,0.29
201012,1.88,-0.87
201112,4.27,1.52
201212,4.64,1.89
201312,4.13,1.38
201412,2.52,-0.23
201512,4.30,1.55
201612,3.32,0.57
201712,1.56,-1.19
201812,3.34,0.59
201912,3.51,0.76
202012,2.21,-0.54
202112,3.81,1.06
