Texas, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,0.50,-2.03
195110,1.25,-1.28
195210,0.02,-2.51
195310,3.49,0.96
195410,2.78,0.25
195510,1.29,-1.24
195610,1.64,-0.89
195710,4.64,2.11
195810,3.01,0.48
195910,4.54,2.01
196010,5.22,2.69
196110,1.57,-0.96
196210,2.27,-0.26
196310,0.89,-1.64
196410,0.91,-1.62
196510,1.95,-0.58
196610,1.49,-1.04
196710,2.25,-0.28
196810,1.44,-1.09
196910,4.16,1.63
197010,2.75,0.22
197110,3.95,1.42
197210,3.21,0.68
197310,4.63,2.10
197410,3.99,1.46
197510,1.60,-0.93
197610,4.22,1.69
197710,1.56,-0.97
197810,1.17,-1.36
197910,1.20,-1.33
198010,1.18,-1.35
198110,5.86,3.33
198210,1.84,-0.69
198310,3.40,0.87
198410,5.95,3.42
198510,4.55,2.02
198610,5.38,2.85
198710,0.74,-1.79
198810,1.17,-1.36
198910,1.41,-1.12
199010,2.20,-0.33
199110,2.33,-0.20
199210,0.93,-1.60
199310,3.01,0.48
199410,5.04,2.51
199510,1.14,-1.39
199610,1.72,-0.81
199710,3.27,0.74
199810,5.18,2.65
199910,1.34,-1.19
200010,4.00,1.47
200110,1.74,-0.79
200210,6.17,3.64
200310,2.71,0.18
200410,3.95,1.42
200510,2.15,-0.38
200610,4.03,1.50
200710,1.15,-1.38
200810,2.16,-0.37
200910,5.55,3.02
201010,0.76,-1.77
201110,2.23,-0.30
201210,0.69,-1.84
201310,3.31,0.78
201410,1.76,-0.77
201510,6.17,3.64
201610,0.67,-1.86
201710,1.25,-1.28
201810,6.92,4.39
201910,2.71,0.18
202010,1.01,-1.52
202110,2.43,-0.10
