North Dakota, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.57,0.08
195112,0.74,0.25
195212,0.17,-0.32
195312,0.60,0.11
195412,0.09,-0.40
195512,0.36,-0.13
195612,0.43,-0.06
195712,0.23,-0.26
195812,0.25,-0.24
195912,0.27,-0.22
196012,0.62,0.13
196112,0.42,-0.07
196212,0.28,-0.21
196312,0.52,0.03
196412,0.64,0.15
196512,0.49,0.00
196612,0.36,-0.13
196712,0.77,0.28
196812,0.74,0.25
196912,0.74,0.25
197012,0.35,-0.14
197112,0.34,-0.15
197212,0.83,0.34
197312,0.65,0.16
197412,0.37,-0.12
197512,0.53,0.04
197612,0.40,-0.09
197712,1.03,0.54
197812,0.54,0.05
197912,0.24,-0.25
198012,0.29,-0.20
198112,0.43,-0.06
198212,0.59,0.10
198312,0.42,-0.07
198412,0.45,-0.04
198512,0.45,-0.04
198612,0.08,-0.41
198712,0.22,-0.27
198812,0.81,0.32
198912,0.19,-0.30
199012,0.48,-0.01
199112,0.26,-0.23
199212,0.47,-0.02
199312,0.63,0.14
199412,0.33,-0.16
199512,0.55,0.06
199612,0.87,0.38
199712,0.13,-0.36
199812,0.30,-0.19
199912,0.24,-0.25
200012,0.45,-0.04
200112,0.34,-0.15
200212,0.63,0.14
200312,0.62,0.13
200412,0.47,-0.02
200512,0.62,0.13
200612,0.67,0.18
200712,0.37,-0.12
200812,1.27,0.78
200912,1.10,0.61
201012,1.24,0.75
201112,0.32,-0.17
201212,0.44,-0.05
201312,0.88,0.39
201412,0.17,-0.32
201512,0.57,0.08
201612,1.30,0.81
201712,0.40,-0.09
201812,0.65,0.16
201912,0.76,0.27
202012,0.23,-0.26
202112,0.87,0.38
