North Carolina, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,3.46,0.19
195110,1.75,-1.52
195210,1.21,-2.06
195310,0.51,-2.76
195410,3.78,0.51
195510,2.66,-0.61
195610,4.70,1.43
195710,2.65,-0.62
195810,4.19,0.92
195910,7.02,3.75
196010,2.90,-0.37
196110,1.65,-1.62
196210,1.77,-1.50
196310,0.74,-2.53
196410,8.03,4.76
196510,2.76,-0.51
196610,2.74,-0.53
196710,1.80,-1.47
196810,5.12,1.85
196910,2.26,-1.01
197010,4.65,1.38
197110,8.73,5.46
197210,3.75,0.48
197310,1.86,-1.41
197410,1.45,-1.82
197510,3.19,-0.08
197610,5.63,2.36
197710,5.68,2.41
197810,1.25,-2.02
197910,2.20,-1.07
198010,3.84,0.57
198110,2.87,-0.40
198210,4.07,0.80
198310,3.73,0.46
198410,1.83,-1.44
198510,4.24,0.97
198610,3.10,-0.17
198710,1.16,-2.11
198810,3.06,-0.21
198910,4.71,1.44
199010,8.26,4.99
199110,1.66,-1.61
199210,4.09,0.82
199310,3.64,0.37
199410,3.85,0.58
199510,7.07,3.80
199610,3.97,0.70
199710,3.09,-0.18
199810,1.76,-1.51
199910,4.77,1.50
200010,0.08,-3.19
200110,1.21,-2.06
200210,5.46,2.19
200310,3.76,0.49
200410,1.95,-1.32
200510,5.72,2.45
200610,4.04,0.77
200710,4.33,1.06
200810,1.92,-1.35
200910,2.93,-0.34
201010,2.71,-0.56
201110,2.88,-0.39
201210,3.32,0.05
201310,2.22,-1.05
201410,2.89,-0.38
201510,7.07,3.80
201610,5.63,2.36
201710,4.37,1.10
201810,4.68,1.41
201910,4.90,1.63
202010,4.21,0.94
202110,3.26,-0.01
