Minnesota, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,1.08,0.27
195112,1.52,0.71
195212,0.35,-0.46
195312,1.23,0.42
195412,0.29,-0.52
195512,0.99,0.18
195612,0.70,-0.11
195712,0.39,-0.42
195812,0.43,-0.38
195912,1.19,0.38
196012,0.82,0.01
196112,0.90,0.09
196212,0.40,-0.41
196312,0.73,-0.08
196412,0.98,0.17
196512,1.44,0.63
196612,0.97,0.16
196712,0.95,0.14
196812,2.06,1.25
196912,1.61,0.80
197012,0.94,0.13
197112,0.67,-0.14
197212,1.33,0.52
197312,0.96,0.15
197412,0.64,-0.17
197512,0.54,-0.27
197612,0.48,-0.33
197712,1.28,0.47
197812,0.82,0.01
197912,0.27,-0.54
198012,0.41,-0.40
198112,0.85,0.04
198212,1.29,0.48
198312,0.89,0.08
198412,1.37,0.56
198512,0.81,0.00
198612,0.26,-0.55
198712,0.85,0.04
198812,0.85,0.04
198912,0.31,-0.50
199012,0.84,0.03
199112,0.67,-0.14
199212,1.06,0.25
199312,0.75,-0.06
199412,0.38,-0.43
199512,0.99,0.18
199612,1.30,0.49
199712,0.27,-0.54
199812,0.60,-0.21
199912,0.33,-0.48
200012,0.93,0.12
200112,0.56,-0.25
200212,0.42,-0.39
200312,0.69,-0.12
200412,0.88,0.07
200512,1.10,0.29
200612,1.29,0.48
200712,1.23,0.42
200812,1.48,0.67
200912,1.62,0.81
201012,1.77,0.96
201112,0.47,-0.34
201212,1.04,0.23
201312,1.37,0.56
201412,0.73,-0.08
201512,1.91,1.10
201612,1.58,0.77
201712,0.71,-0.10
201812,1.33,0.52
201912,1.82,1.01
202012,0.68,-0.13
202112,1.95,1.14
