New Jersey, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.98,-1.34
195110,4.24,0.92
195210,0.86,-2.46
195310,3.78,0.46
195410,2.15,-1.17
195510,7.02,3.70
195610,4.13,0.81
195710,2.72,-0.60
195810,5.36,2.04
195910,4.64,1.32
196010,2.28,-1.04
196110,2.73,-0.59
196210,2.57,-0.75
196310,0.25,-3.07
196410,1.91,-1.41
196510,2.19,-1.13
196610,4.70,1.38
196710,2.47,-0.85
196810,2.73,-0.59
196910,1.69,-1.63
197010,3.81,0.49
197110,4.58,1.26
197210,5.30,1.98
197310,3.82,0.50
197410,2.07,-1.25
197510,3.80,0.48
197610,6.21,2.89
197710,4.24,0.92
197810,1.71,-1.61
197910,3.97,0.65
198010,4.14,0.82
198110,3.62,0.30
198210,1.79,-1.53
198310,4.74,1.42
198410,2.77,-0.55
198510,1.75,-1.57
198610,2.61,-0.71
198710,3.96,0.64
198810,2.68,-0.64
198910,5.09,1.77
199010,4.15,0.83
199110,2.14,-1.18
199210,1.49,-1.83
199310,4.02,0.70
199410,0.95,-2.37
199510,6.86,3.54
199610,6.34,3.02
199710,2.36,-0.96
199810,2.63,-0.69
199910,3.34,0.02
200010,0.77,-2.55
200110,0.93,-2.39
200210,6.74,3.42
200310,4.99,1.67
200410,2.28,-1.04
200510,11.99,8.67
200610,6.28,2.96
200710,5.50,2.18
200810,2.84,-0.48
200910,5.67,2.35
201010,5.38,2.06
201110,4.19,0.87
201210,5.43,2.11
201310,2.01,-1.31
201410,3.64,0.32
201510,4.02,0.70
201610,2.80,-0.52
201710,4.97,1.65
201810,4.46,1.14
201910,5.71,2.39
202010,5.03,1.71
202110,5.07,1.75
