Tennessee, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,6.09,1.65
195105,1.42,-3.02
195205,3.30,-1.14
195305,6.15,1.71
195405,3.75,-0.69
195505,5.05,0.61
195605,3.09,-1.35
195705,5.36,0.92
195805,4.47,0.03
195905,4.24,-0.20
196005,3.16,-1.28
196105,4.45,0.01
196205,2.26,-2.18
196305,3.97,-0.47
196405,3.24,-1.20
196505,3.71,-0.73
196605,4.60,0.16
196705,7.50,3.06
196805,5.28,0.84
196905,2.98,-1.46
197005,2.83,-1.61
197105,4.42,-0.02
197205,4.31,-0.13
197305,7.50,3.06
197405,6.85,2.41
197505,5.24,0.80
197605,5.77,1.33
197705,2.58,-1.86
197805,5.96,1.52
197905,7.11,2.67
198005,4.48,0.04
198105,4.38,-0.06
198205,3.66,-0.78
198305,10.09,5.65
198405,9.27,4.83
198505,3.52,-0.92
198605,4.77,0.33
198705,3.21,-1.23
198805,2.45,-1.99
198905,5.04,0.60
199005,5.33,0.89
199105,6.56,2.12
199205,3.18,-1.26
199305,4.85,0.41
199405,3.86,-0.58
199505,6.07,1.63
199605,4.94,0.50
199705,5.33,0.89
199805,4.72,0.28
199905,4.23,-0.21
200005,4.59,0.15
200105,4.42,-0.02
200205,5.55,1.11
200305,9.71,5.27
200405,5.28,0.84
200505,1.62,-2.82
200605,4.13,-0.31
200705,1.80,-2.64
200805,4.99,0.55
200905,8.36,3.92
201005,9.01,4.57
201105,5.02,0.58
201205,3.25,-1.19
201305,5.66,1.22
201405,2.91,-1.53
201505,3.68,-0.76
201605,3.80,-0.64
201705,5.95,1.51
201805,4.99,0.55
201905,3.71,-0.73
202005,4.56,0.12
202105,4.28,-0.16
