South Dakota, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,1.84,0.79
195103,1.07,0.02
195203,0.87,-0.18
195303,1.26,0.21
195403,1.53,0.48
195503,0.33,-0.72
195603,0.81,-0.24
195703,0.67,-0.38
195803,0.55,-0.50
195903,0.39,-0.66
196003,0.75,-0.30
196103,0.61,-0.44
196203,1.12,0.07
196303,0.98,-0.07
196403,0.86,-0.19
196503,0.77,-0.28
196603,1.28,0.23
196703,0.35,-0.70
196803,0.59,-0.46
196903,0.47,-0.58
197003,1.14,0.09
197103,0.46,-0.59
197203,0.73,-0.32
197303,2.31,1.26
197403,0.79,-0.26
197503,2.08,1.03
197603,0.68,-0.37
197703,3.55,2.50
197803,0.33,-0.72
197903,1.28,0.23
198003,0.70,-0.35
198103,1.11,0.06
198203,1.67,0.62
198303,2.00,0.95
198403,1.18,0.13
198503,1.57,0.52
198603,1.19,0.14
198703,2.83,1.78
198803,0.73,-0.32
198903,1.53,0.48
199003,1.13,0.08
199103,0.71,-0.34
199203,1.19,0.14
199303,0.98,-0.07
199403,0.35,-0.70
199503,1.89,0.84
199603,0.79,-0.26
199703,0.44,-0.61
199803,1.70,0.65
199903,0.69,-0.36
200003,1.27,0.22
200103,0.46,-0.59
200203,0.95,-0.10
200303,0.94,-0.11
200403,1.61,0.56
200503,0.69,-0.36
200603,1.35,0.30
200703,2.13,1.08
200803,0.90,-0.15
200903,1.75,0.70
201003,1.19,0.14
201103,1.05,0.00
201203,0.37,-0.68
201303,0.67,-0.38
201403,0.76,-0.29
201503,0.24,-0.81
201603,1.04,-0.01
201703,0.66,-0.39
201803,1.53,0.48
201903,1.69,0.64
202003,0.78,-0.27
202103,1.22,0.17
