North Dakota, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,0.64,-0.44
195110,1.04,-0.04
195210,0.09,-0.99
195310,1.07,-0.01
195410,0.59,-0.49
195510,0.50,-0.58
195610,0.74,-0.34
195710,1.59,0.51
195810,0.74,-0.34
195910,1.73,0.65
196010,0.49,-0.59
196110,0.61,-0.47
196210,0.85,-0.23
196310,0.46,-0.62
196410,0.22,-0.86
196510,0.39,-0.69
196610,0.74,-0.34
196710,1.43,0.35
196810,0.58,-0.50
196910,0.99,-0.09
197010,0.84,-0.24
197110,3.47,2.39
197210,1.15,0.07
197310,1.38,0.30
197410,0.83,-0.25
197510,1.07,-0.01
197610,0.25,-0.83
197710,1.08,0.00
197810,0.35,-0.73
197910,0.53,-0.55
198010,2.19,1.11
198110,1.18,0.10
198210,4.61,3.53
198310,1.10,0.02
198410,2.51,1.43
198510,1.71,0.63
198610,0.56,-0.52
198710,0.15,-0.93
198810,0.26,-0.82
198910,0.59,-0.49
199010,0.48,-0.60
199110,1.55,0.47
199210,0.30,-0.78
199310,0.23,-0.85
199410,4.17,3.09
199510,1.69,0.61
199610,1.19,0.11
199710,1.70,0.62
199810,3.91,2.83
199910,0.33,-0.75
200010,1.61,0.53
200110,0.95,-0.13
200210,0.87,-0.21
200310,0.63,-0.45
200410,1.77,0.69
200510,1.52,0.44
200610,1.01,-0.07
200710,0.94,-0.14
200810,2.50,1.42
200910,2.72,1.64
201010,1.09,0.01
201110,1.06,-0.02
201210,1.97,0.89
201310,3.52,2.44
201410,0.53,-0.55
201510,1.32,0.24
201610,1.23,0.15
201710,0.25,-0.83
201810,1.40,0.32
201910,2.41,1.33
202010,0.57,-0.51
202110,3.34,2.26
