Tennessee, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,2.98,-1.97
195112,8.69,3.74
195212,3.58,-1.37
195312,4.32,-0.63
195412,6.23,1.28
195512,2.54,-2.41
195612,6.46,1.51
195712,5.52,0.57
195812,1.71,-3.24
195912,5.41,0.46
196012,3.36,-1.59
196112,8.61,3.66
196212,2.61,-2.34
196312,2.53,-2.42
196412,6.16,1.21
196512,1.03,-3.92
196612,5.16,0.21
196712,6.95,2.00
196812,4.13,-0.82
196912,8.09,3.14
197012,4.51,-0.44
197112,5.77,0.82
197212,8.54,3.59
197312,5.36,0.41
197412,5.14,0.19
197512,4.14,-0.81
197612,2.74,-2.21
197712,3.67,-1.28
197812,8.97,4.02
197912,3.65,-1.30
198012,1.61,-3.34
198112,3.67,-1.28
198212,8.64,3.69
198312,7.35,2.40
198412,3.42,-1.53
198512,1.70,-3.25
198612,4.57,-0.38
198712,6.58,1.63
198812,4.83,-0.12
198912,2.84,-2.11
199012,12.52,7.57
199112,10.22,5.27
199212,4.63,-0.32
199312,6.79,1.84
199412,3.41,-1.54
199512,3.03,-1.92
199612,5.96,1.01
199712,3.41,-1.54
199812,6.93,1.98
199912,3.23,-1.72
200012,3.65,-1.30
200112,5.48,0.53
200212,6.58,1.63
200312,3.82,-1.13
200412,6.61,1.66
200512,2.98,-1.97
200612,3.39,-1.56
200712,4.47,-0.48
200812,8.13,3.18
200912,5.88,0.93
201012,2.80,-2.15
201112,6.29,1.34
201212,5.91,0.96
201312,6.79,1.84
201412,4.59,-0.36
201512,7.90,2.95
201612,6.87,1.92
201712,4.63,-0.32
201812,7.34,2.39
201912,6.17,1.22
202012,4.66,-0.29
202112,4.63,-0.32
