North Carolina, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.28,-0.39
195112,4.47,0.80
195212,3.23,-0.44
195312,5.23,1.56
195412,3.61,-0.06
195512,1.02,-2.65
195612,2.90,-0.77
195712,4.30,0.63
195812,4.14,0.47
195912,3.46,-0.21
196012,2.10,-1.57
196112,5.07,1.40
196212,3.07,-0.60
196312,2.68,-0.99
196412,4.11,0.44
196512,0.48,-3.19
196612,3.31,-0.36
196712,5.71,2.04
196812,2.77,-0.90
196912,4.45,0.78
197012,2.64,-1.03
197112,2.27,-1.40
197212,4.96,1.29
197312,7.05,3.38
197412,4.56,0.89
197512,4.26,0.59
197612,4.68,1.01
197712,3.97,0.30
197812,3.73,0.06
197912,1.58,-2.09
198012,2.19,-1.48
198112,4.93,1.26
198212,4.77,1.10
198312,6.85,3.18
198412,1.90,-1.77
198512,1.27,-2.40
198612,4.48,0.81
198712,3.30,-0.37
198812,1.05,-2.62
198912,3.93,0.26
199012,3.51,-0.16
199112,3.61,-0.06
199212,3.57,-0.10
199312,3.76,0.09
199412,2.39,-1.28
199512,1.88,-1.79
199612,3.95,0.28
199712,3.93,0.26
199812,4.57,0.90
199912,1.90,-1.77
200012,1.92,-1.75
200112,2.00,-1.67
200212,4.57,0.90
200312,4.14,0.47
200412,2.73,-0.94
200512,4.41,0.74
200612,3.32,-0.35
200712,4.13,0.46
200812,3.93,0.26
200912,7.09,3.42
201012,2.87,-0.80
201112,2.45,-1.22
201212,4.36,0.69
201312,5.61,1.94
201412,3.76,0.09
201512,7.31,3.64
201612,3.19,-0.48
201712,2.85,-0.82
201812,7.06,3.39
201912,4.57,0.90
202012,4.55,0.88
202112,2.31,-1.36
