Nevada, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,0.66,-0.12
195110,1.06,0.28
195210,0.01,-0.77
195310,0.62,-0.16
195410,0.23,-0.55
195510,0.12,-0.66
195610,0.87,0.09
195710,1.63,0.85
195810,0.22,-0.56
195910,0.18,-0.60
196010,0.74,-0.04
196110,0.62,-0.16
196210,0.73,-0.05
196310,0.83,0.05
196410,0.43,-0.35
196510,0.16,-0.62
196610,0.10,-0.68
196710,0.19,-0.59
196810,0.65,-0.13
196910,0.90,0.12
197010,0.32,-0.46
197110,0.70,-0.08
197210,1.84,1.06
197310,0.56,-0.22
197410,1.98,1.20
197510,1.40,0.62
197610,1.03,0.25
197710,0.11,-0.67
197810,0.52,-0.26
197910,0.72,-0.06
198010,0.30,-0.48
198110,1.45,0.67
198210,1.25,0.47
198310,0.97,0.19
198410,1.27,0.49
198510,0.73,-0.05
198610,0.59,-0.19
198710,1.27,0.49
198810,0.16,-0.62
198910,0.54,-0.24
199010,0.29,-0.49
199110,0.79,0.01
199210,1.03,0.25
199310,0.94,0.16
199410,0.63,-0.15
199510,0.05,-0.73
199610,0.88,0.10
199710,0.47,-0.31
199810,1.13,0.35
199910,0.15,-0.63
200010,1.65,0.87
200110,0.28,-0.50
200210,0.36,-0.42
200310,0.12,-0.66
200410,2.36,1.58
200510,0.86,0.08
200610,0.86,0.08
200710,0.61,-0.17
200810,0.37,-0.41
200910,0.78,0.00
201010,2.23,1.45
201110,0.93,0.15
201210,0.67,-0.11
201310,0.59,-0.19
201410,0.12,-0.66
201510,1.83,1.05
201610,1.36,0.58
201710,0.17,-0.61
201810,1.09,0.31
201910,0.12,-0.66
202010,0.06,-0.72
202110,2.00,1.22
