Georgia, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.95,-0.12
195112,5.97,1.90
195212,4.00,-0.07
195312,8.63,4.56
195412,3.18,-0.89
195512,0.95,-3.12
195612,3.45,-0.62
195712,2.83,-1.24
195812,2.81,-1.26
195912,2.56,-1.51
196012,1.99,-2.08
196112,6.63,2.56
196212,2.60,-1.47
196312,3.93,-0.14
196412,6.40,2.33
196512,2.53,-1.54
196612,3.73,-0.34
196712,5.13,1.06
196812,4.72,0.65
196912,4.47,0.40
197012,3.95,-0.12
197112,5.25,1.18
197212,6.32,2.25
197312,4.91,0.84
197412,4.61,0.54
197512,3.90,-0.17
197612,4.85,0.78
197712,4.58,0.51
197812,3.41,-0.66
197912,2.29,-1.78
198012,1.10,-2.97
198112,6.15,2.08
198212,6.24,2.17
198312,7.45,3.38
198412,1.79,-2.28
198512,3.09,-0.98
198612,4.53,0.46
198712,2.46,-1.61
198812,1.37,-2.70
198912,5.34,1.27
199012,3.35,-0.72
199112,3.46,-0.61
199212,3.66,-0.41
199312,3.15,-0.92
199412,3.11,-0.96
199512,2.74,-1.33
199612,3.84,-0.23
199712,6.36,2.29
199812,2.54,-1.53
199912,2.18,-1.89
200012,3.34,-0.73
200112,1.75,-2.32
200212,5.26,1.19
200312,2.48,-1.59
200412,3.02,-1.05
200512,4.19,0.12
200612,3.46,-0.61
200712,5.52,1.45
200812,4.38,0.31
200912,9.08,5.01
201012,2.27,-1.80
201112,3.23,-0.84
201212,4.93,0.86
201312,6.39,2.32
201412,5.31,1.24
201512,8.49,4.42
201612,5.68,1.61
201712,3.19,-0.88
201812,9.63,5.56
201912,6.54,2.47
202012,3.10,-0.97
202112,4.21,0.14
