Tennessee, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,5.84,0.39
195103,6.02,0.57
195203,6.99,1.54
195303,5.86,0.41
195403,3.92,-1.53
195503,8.37,2.92
195603,4.16,-1.29
195703,2.79,-2.66
195803,4.12,-1.33
195903,4.12,-1.33
196003,4.83,-0.62
196103,6.79,1.34
196203,5.48,0.03
196303,9.13,3.68
196403,7.71,2.26
196503,8.07,2.62
196603,2.10,-3.35
196703,4.02,-1.43
196803,5.85,0.40
196903,2.73,-2.72
197003,4.36,-1.09
197103,3.78,-1.67
197203,5.24,-0.21
197303,10.50,5.05
197403,4.76,-0.69
197503,13.13,7.68
197603,6.50,1.05
197703,6.13,0.68
197803,4.53,-0.92
197903,5.18,-0.27
198003,9.97,4.52
198103,4.11,-1.34
198203,3.73,-1.72
198303,3.29,-2.16
198403,5.74,0.29
198503,2.84,-2.61
198603,2.79,-2.66
198703,2.81,-2.64
198803,3.22,-2.23
198903,6.17,0.72
199003,5.29,-0.16
199103,6.42,0.97
199203,5.22,-0.23
199303,5.35,-0.10
199403,9.59,4.14
199503,4.11,-1.34
199603,5.89,0.44
199703,9.22,3.77
199803,4.58,-0.87
199903,4.59,-0.86
200003,4.47,-0.98
200103,3.33,-2.12
200203,9.14,3.69
200303,2.54,-2.91
200403,4.80,-0.65
200503,3.35,-2.10
200603,3.19,-2.26
200703,2.21,-3.24
200803,6.52,1.07
200903,4.52,-0.93
201003,3.88,-1.57
201103,6.96,1.51
201203,4.86,-0.59
201303,4.97,-0.48
201403,3.93,-1.52
201503,5.41,-0.04
201603,5.16,-0.29
201703,5.77,0.32
201803,5.67,0.22
201903,4.26,-1.19
202003,8.15,2.70
202103,10.19,4.74
