Illinois, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,1.40,-0.93
195112,2.37,0.04
195212,2.07,-0.26
195312,1.72,-0.61
195412,2.59,0.26
195512,0.45,-1.88
195612,2.42,0.09
195712,4.16,1.83
195812,0.50,-1.83
195912,2.70,0.37
196012,1.54,-0.79
196112,2.35,0.02
196212,1.06,-1.27
196312,0.87,-1.46
196412,1.74,-0.59
196512,2.88,0.55
196612,3.66,1.33
196712,4.84,2.51
196812,3.02,0.69
196912,1.81,-0.52
197012,1.43,-0.90
197112,5.51,3.18
197212,3.41,1.08
197312,3.99,1.66
197412,2.15,-0.18
197512,2.51,0.18
197612,0.44,-1.89
197712,2.65,0.32
197812,3.17,0.84
197912,2.13,-0.20
198012,1.74,-0.59
198112,1.76,-0.57
198212,7.17,4.84
198312,3.46,1.13
198412,3.68,1.35
198512,2.31,-0.02
198612,1.65,-0.68
198712,5.11,2.78
198812,2.33,0.00
198912,0.85,-1.48
199012,5.30,2.97
199112,2.09,-0.24
199212,2.68,0.35
199312,1.53,-0.80
199412,1.92,-0.41
199512,1.41,-0.92
199612,1.70,-0.63
199712,1.91,-0.42
199812,1.56,-0.77
199912,2.75,0.42
200012,1.94,-0.39
200112,2.60,0.27
200212,2.17,-0.16
200312,2.56,0.23
200412,1.80,-0.53
200512,1.16,-1.17
200612,3.40,1.07
200712,3.87,1.54
200812,4.25,1.92
200912,3.98,1.65
201012,1.77,-0.56
201112,3.35,1.02
201212,2.25,-0.08
201312,2.48,0.15
201412,1.90,-0.43
201512,6.67,4.34
201612,1.40,-0.93
201712,0.84,-1.49
201812,3.25,0.92
201912,1.88,-0.45
202012,1.71,-0.62
202112,2.53,0.20
