Illinois, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.25,-1.54
195110,3.23,0.44
195210,0.67,-2.12
195310,1.52,-1.27
195410,5.10,2.31
195510,4.54,1.75
195610,0.72,-2.07
195710,3.34,0.55
195810,1.44,-1.35
195910,4.20,1.41
196010,2.57,-0.22
196110,2.68,-0.11
196210,3.28,0.49
196310,0.93,-1.86
196410,0.18,-2.61
196510,1.41,-1.38
196610,1.89,-0.90
196710,5.07,2.28
196810,1.10,-1.69
196910,5.70,2.91
197010,3.35,0.56
197110,1.65,-1.14
197210,2.58,-0.21
197310,3.84,1.05
197410,1.76,-1.03
197510,1.84,-0.95
197610,3.18,0.39
197710,4.04,1.25
197810,1.90,-0.89
197910,1.86,-0.93
198010,2.18,-0.61
198110,2.57,-0.22
198210,2.70,-0.09
198310,4.80,2.01
198410,4.87,2.08
198510,3.96,1.17
198610,4.89,2.10
198710,1.30,-1.49
198810,2.58,-0.21
198910,1.53,-1.26
199010,4.18,1.39
199110,5.96,3.17
199210,1.31,-1.48
199310,2.46,-0.33
199410,2.03,-0.76
199510,3.02,0.23
199610,2.40,-0.39
199710,1.94,-0.85
199810,4.23,1.44
199910,1.69,-1.10
200010,2.10,-0.69
200110,6.08,3.29
200210,3.07,0.28
200310,1.98,-0.81
200410,4.84,2.05
200510,1.26,-1.53
200610,3.80,1.01
200710,3.50,0.71
200810,2.42,-0.37
200910,8.49,5.70
201010,1.32,-1.47
201110,1.80,-0.99
201210,3.93,1.14
201310,3.33,0.54
201410,4.33,1.54
201510,1.44,-1.35
201610,2.38,-0.41
201710,5.00,2.21
201810,3.68,0.89
201910,5.00,2.21
202010,2.97,0.18
202110,6.02,3.23
