Oregon, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,7.45,5.01
195110,4.91,2.47
195210,0.32,-2.12
195310,2.01,-0.43
195410,1.67,-0.77
195510,3.71,1.27
195610,5.56,3.12
195710,3.45,1.01
195810,1.39,-1.05
195910,2.26,-0.18
196010,1.99,-0.45
196110,3.25,0.81
196210,5.31,2.87
196310,2.14,-0.30
196410,1.02,-1.42
196510,1.19,-1.25
196610,1.82,-0.62
196710,3.71,1.27
196810,3.24,0.80
196910,2.91,0.47
197010,2.87,0.43
197110,2.09,-0.35
197210,1.43,-1.01
197310,2.60,0.16
197410,1.05,-1.39
197510,4.54,2.10
197610,0.97,-1.47
197710,1.71,-0.73
197810,0.29,-2.15
197910,4.34,1.90
198010,1.58,-0.86
198110,3.51,1.07
198210,3.75,1.31
198310,1.42,-1.02
198410,3.82,1.38
198510,2.89,0.45
198610,1.62,-0.82
198710,0.11,-2.33
198810,0.25,-2.19
198910,2.10,-0.34
199010,3.20,0.76
199110,1.92,-0.52
199210,2.64,0.20
199310,1.19,-1.25
199410,2.89,0.45
199510,2.10,-0.34
199610,3.63,1.19
199710,3.76,1.32
199810,1.86,-0.58
199910,2.09,-0.35
200010,3.07,0.63
200110,2.22,-0.22
200210,0.45,-1.99
200310,1.29,-1.15
200410,3.32,0.88
200510,2.55,0.11
200610,1.07,-1.37
200710,3.56,1.12
200810,1.42,-1.02
200910,2.96,0.52
201010,3.59,1.15
201110,2.06,-0.38
201210,3.77,1.33
201310,0.99,-1.45
201410,3.50,1.06
201510,1.93,-0.51
201610,7.24,4.80
201710,3.11,0.67
201810,2.12,-0.32
201910,1.57,-0.87
202010,1.36,-1.08
202110,3.13,0.69
