California, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,3.41,2.21
195110,1.85,0.65
195210,0.12,-1.08
195310,0.79,-0.41
195410,0.29,-0.91
195510,0.38,-0.82
195610,2.30,1.10
195710,2.76,1.56
195810,0.39,-0.81
195910,0.21,-0.99
196010,0.55,-0.65
196110,0.63,-0.57
196210,3.94,2.74
196310,1.99,0.79
196410,1.07,-0.13
196510,0.17,-1.03
196610,0.21,-0.99
196710,0.74,-0.46
196810,1.41,0.21
196910,1.33,0.13
197010,0.97,-0.23
197110,0.51,-0.69
197210,1.79,0.59
197310,1.91,0.71
197410,1.55,0.35
197510,2.61,1.41
197610,0.51,-0.69
197710,0.50,-0.70
197810,0.20,-1.00
197910,2.51,1.31
198010,0.57,-0.63
198110,2.44,1.24
198210,2.66,1.46
198310,1.18,-0.02
198410,1.61,0.41
198510,1.15,-0.05
198610,0.64,-0.56
198710,1.33,0.13
198810,0.10,-1.10
198910,1.95,0.75
199010,0.47,-0.73
199110,1.28,0.08
199210,2.13,0.93
199310,0.82,-0.38
199410,0.63,-0.57
199510,0.05,-1.15
199610,1.70,0.50
199710,1.08,-0.12
199810,0.76,-0.44
199910,0.71,-0.49
200010,2.20,1.00
200110,0.65,-0.55
200210,0.06,-1.14
200310,0.09,-1.11
200410,3.72,2.52
200510,1.00,-0.20
200610,0.45,-0.75
200710,1.50,0.30
200810,0.70,-0.50
200910,2.07,0.87
201010,3.00,1.80
201110,1.54,0.34
201210,0.99,-0.21
201310,0.26,-0.94
201410,1.06,-0.14
201510,0.90,-0.30
201610,3.82,2.62
201710,0.34,-0.86
201810,0.70,-0.50
201910,0.16,-1.04
202010,0.05,-1.15
202110,3.66,2.46
