Tennessee, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,6.89,2.51
195107,4.36,-0.02
195207,2.40,-1.98
195307,5.04,0.66
195407,2.56,-1.82
195507,4.20,-0.18
195607,4.33,-0.05
195707,2.82,-1.56
195807,6.06,1.68
195907,5.30,0.92
196007,3.55,-0.83
196107,4.76,0.38
196207,3.55,-0.83
196307,5.39,1.01
196407,5.07,0.69
196507,4.80,0.42
196607,4.50,0.12
196707,8.25,3.87
196807,3.22,-1.16
196907,3.28,-1.10
197007,2.66,-1.72
197107,6.26,1.88
197207,7.37,2.99
197307,4.94,0.56
197407,3.09,-1.29
197507,3.83,-0.55
197607,4.02,-0.36
197707,3.19,-1.19
197807,4.15,-0.23
197907,6.38,2.00
198007,3.07,-1.31
198107,5.07,0.69
198207,5.04,0.66
198307,2.06,-2.32
198407,6.08,1.70
198507,3.91,-0.47
198607,2.97,-1.41
198707,3.60,-0.78
198807,5.53,1.15
198907,6.06,1.68
199007,4.00,-0.38
199107,3.27,-1.11
199207,5.32,0.94
199307,2.35,-2.03
199407,5.36,0.98
199507,4.02,-0.36
199607,6.37,1.99
199707,2.60,-1.78
199807,6.21,1.83
199907,3.78,-0.60
200007,2.95,-1.43
200107,4.84,0.46
200207,4.14,-0.24
200307,5.79,1.41
200407,4.85,0.47
200507,5.35,0.97
200607,3.65,-0.73
200707,3.69,-0.69
200807,3.94,-0.44
200907,6.96,2.58
201007,4.34,-0.04
201107,3.17,-1.21
201207,5.75,1.37
201307,6.96,2.58
201407,4.13,-0.25
201507,6.48,2.10
201607,4.86,0.48
201707,5.36,0.98
201807,3.52,-0.86
201907,6.13,1.75
202007,4.76,0.38
202107,5.08,0.70
