Alabama, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,5.59,1.25
195108,2.24,-2.10
195208,6.28,1.94
195308,2.61,-1.73
195408,1.85,-2.49
195508,3.07,-1.27
195608,2.88,-1.46
195708,2.28,-2.06
195808,3.00,-1.34
195908,3.70,-0.64
196008,5.70,1.36
196108,5.03,0.69
196208,2.74,-1.60
196308,2.72,-1.62
196408,4.70,0.36
196508,4.38,0.04
196608,4.97,0.63
196708,6.76,2.42
196808,3.69,-0.65
196908,4.96,0.62
197008,6.24,1.90
197108,4.05,-0.29
197208,2.42,-1.92
197308,3.62,-0.72
197408,6.00,1.66
197508,5.56,1.22
197608,3.33,-1.01
197708,4.27,-0.07
197808,4.07,-0.27
197908,4.19,-0.15
198008,2.51,-1.83
198108,4.78,0.44
198208,3.77,-0.57
198308,3.07,-1.27
198408,5.61,1.27
198508,4.79,0.45
198608,4.42,0.08
198708,3.71,-0.63
198808,3.42,-0.92
198908,2.44,-1.90
199008,1.92,-2.42
199108,3.93,-0.41
199208,5.87,1.53
199308,4.72,0.38
199408,2.91,-1.43
199508,4.79,0.45
199608,4.70,0.36
199708,2.88,-1.46
199808,3.44,-0.90
199908,2.02,-2.32
200008,2.36,-1.98
200108,5.48,1.14
200208,3.24,-1.10
200308,5.70,1.36
200408,4.48,0.14
200508,6.01,1.67
200608,3.91,-0.43
200708,2.67,-1.67
200808,8.89,4.55
200908,5.49,1.15
201008,4.83,0.49
201108,2.05,-2.29
201208,6.07,1.73
201308,5.50,1.16
201408,3.25,-1.09
201508,4.94,0.60
201608,4.58,0.24
201708,6.07,1.73
201808,5.03,0.69
201908,4.99,0.65
202008,5.78,1.44
202108,7.40,3.06
