Vermont, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,2.42,-1.10
195110,3.29,-0.23
195210,2.86,-0.66
195310,3.17,-0.35
195410,3.04,-0.48
195510,5.33,1.81
195610,1.68,-1.84
195710,2.15,-1.37
195810,4.27,0.75
195910,7.40,3.88
196010,3.88,0.36
196110,2.17,-1.35
196210,5.64,2.12
196310,0.57,-2.95
196410,1.99,-1.53
196510,4.02,0.50
196610,2.60,-0.92
196710,4.19,0.67
196810,3.04,-0.48
196910,2.45,-1.07
197010,2.91,-0.61
197110,2.44,-1.08
197210,3.71,0.19
197310,2.74,-0.78
197410,1.51,-2.01
197510,5.33,1.81
197610,5.80,2.28
197710,6.26,2.74
197810,4.20,0.68
197910,3.61,0.09
198010,3.45,-0.07
198110,5.80,2.28
198210,2.08,-1.44
198310,3.40,-0.12
198410,2.81,-0.71
198510,3.53,0.01
198610,2.52,-1.00
198710,5.79,2.27
198810,2.46,-1.06
198910,4.72,1.20
199010,6.85,3.33
199110,4.81,1.29
199210,3.03,-0.49
199310,3.35,-0.17
199410,0.95,-2.57
199510,8.14,4.62
199610,4.95,1.43
199710,2.15,-1.37
199810,3.02,-0.50
199910,4.00,0.48
200010,2.81,-0.71
200110,2.03,-1.49
200210,3.73,0.21
200310,6.76,3.24
200410,1.50,-2.02
200510,10.23,6.71
200610,7.28,3.76
200710,5.66,2.14
200810,5.14,1.62
200910,5.09,1.57
201010,9.16,5.64
201110,4.48,0.96
201210,5.18,1.66
201310,2.37,-1.15
201410,5.13,1.61
201510,3.48,-0.04
201610,3.55,0.03
201710,5.26,1.74
201810,4.40,0.88
201910,6.83,3.31
202010,4.52,1.00
202110,4.82,1.30
