Washington, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,7.98,4.32
195110,6.44,2.78
195210,0.87,-2.79
195310,3.16,-0.50
195410,2.67,-0.99
195510,6.99,3.33
195610,6.27,2.61
195710,3.93,0.27
195810,3.76,0.10
195910,4.23,0.57
196010,3.89,0.23
196110,3.94,0.28
196210,4.05,0.39
196310,4.28,0.62
196410,1.94,-1.72
196510,2.35,-1.31
196610,3.63,-0.03
196710,7.94,4.28
196810,5.00,1.34
196910,2.28,-1.38
197010,3.37,-0.29
197110,3.33,-0.33
197210,0.94,-2.72
197310,4.09,0.43
197410,1.00,-2.66
197510,7.33,3.67
197610,1.78,-1.88
197710,2.60,-1.06
197810,0.85,-2.81
197910,4.39,0.73
198010,1.31,-2.35
198110,4.98,1.32
198210,4.61,0.95
198310,1.84,-1.82
198410,4.08,0.42
198510,6.17,2.51
198610,2.45,-1.21
198710,0.25,-3.41
198810,2.38,-1.28
198910,3.13,-0.53
199010,6.15,2.49
199110,1.65,-2.01
199210,2.45,-1.21
199310,1.71,-1.95
199410,5.49,1.83
199510,4.99,1.33
199610,5.84,2.18
199710,6.77,3.11
199810,2.76,-0.90
199910,3.49,-0.17
200010,2.93,-0.73
200110,4.60,0.94
200210,0.64,-3.02
200310,6.32,2.66
200410,3.81,0.15
200510,4.15,0.49
200610,1.81,-1.85
200710,4.06,0.40
200810,2.36,-1.30
200910,5.57,1.91
201010,4.29,0.63
201110,3.34,-0.32
201210,6.47,2.81
201310,1.37,-2.29
201410,6.01,2.35
201510,4.18,0.52
201610,10.29,6.63
201710,5.06,1.40
201810,3.65,-0.01
201910,3.79,0.13
202010,3.99,0.33
202110,5.26,1.60
