Oregon, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,5.52,0.69
195112,6.32,1.49
195212,6.14,1.31
195312,5.49,0.66
195412,4.13,-0.70
195512,9.91,5.08
195612,3.89,-0.94
195712,7.20,2.37
195812,3.81,-1.02
195912,2.25,-2.58
196012,2.50,-2.33
196112,4.63,-0.20
196212,2.99,-1.84
196312,2.82,-2.01
196412,13.05,8.22
196512,4.06,-0.77
196612,5.61,0.78
196712,3.71,-1.12
196812,6.60,1.77
196912,6.81,1.98
197012,5.89,1.06
197112,6.16,1.33
197212,5.69,0.86
197312,7.17,2.34
197412,5.74,0.91
197512,5.17,0.34
197612,0.84,-3.99
197712,7.46,2.63
197812,2.97,-1.86
197912,3.89,-0.94
198012,6.28,1.45
198112,9.79,4.96
198212,6.90,2.07
198312,7.37,2.54
198412,3.28,-1.55
198512,2.18,-2.65
198612,2.06,-2.77
198712,6.58,1.75
198812,3.16,-1.67
198912,1.54,-3.29
199012,2.50,-2.33
199112,2.89,-1.94
199212,5.94,1.11
199312,4.07,-0.76
199412,4.11,-0.72
199512,7.49,2.66
199612,11.51,6.68
199712,2.63,-2.20
199812,5.97,1.14
199912,3.38,-1.45
200012,2.69,-2.14
200112,6.16,1.33
200212,7.06,2.23
200312,6.78,1.95
200412,4.32,-0.51
200512,7.97,3.14
200612,5.44,0.61
200712,5.93,1.10
200812,5.44,0.61
200912,3.34,-1.49
201012,7.10,2.27
201112,2.54,-2.29
201212,6.73,1.90
201312,1.89,-2.94
201412,6.23,1.40
201512,10.13,5.30
201612,5.26,0.43
201712,2.21,-2.62
201812,4.54,-0.29
201912,3.54,-1.29
202012,3.98,-0.85
202112,5.76,0.93
