Vermont, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,4.97,0.98
195108,3.43,-0.56
195208,3.01,-0.98
195308,4.03,0.04
195408,3.81,-0.18
195508,7.68,3.69
195608,2.65,-1.34
195708,1.56,-2.43
195808,2.84,-1.15
195908,4.87,0.88
196008,1.99,-2.00
196108,3.68,-0.31
196208,3.72,-0.27
196308,4.88,0.89
196408,4.69,0.70
196508,4.83,0.84
196608,5.49,1.50
196708,3.98,-0.01
196808,2.51,-1.48
196908,4.39,0.40
197008,3.87,-0.12
197108,6.64,2.65
197208,3.08,-0.91
197308,3.45,-0.54
197408,3.79,-0.20
197508,5.22,1.23
197608,6.28,2.29
197708,5.01,1.02
197808,3.65,-0.34
197908,4.74,0.75
198008,3.63,-0.36
198108,4.58,0.59
198208,3.52,-0.47
198308,6.12,2.13
198408,3.26,-0.73
198508,4.24,0.25
198608,5.24,1.25
198708,3.21,-0.78
198808,5.73,1.74
198908,5.90,1.91
199008,7.32,3.33
199108,6.16,2.17
199208,3.80,-0.19
199308,3.47,-0.52
199408,5.08,1.09
199508,4.50,0.51
199608,2.37,-1.62
199708,5.88,1.89
199808,4.73,0.74
199908,2.76,-1.23
200008,4.33,0.34
200108,2.25,-1.74
200208,2.00,-1.99
200308,5.51,1.52
200408,7.46,3.47
200508,4.09,0.10
200608,4.75,0.76
200708,3.15,-0.84
200808,5.79,1.80
200908,4.54,0.55
201008,4.52,0.53
201108,10.08,6.09
201208,3.29,-0.70
201308,3.41,-0.58
201408,3.48,-0.51
201508,2.95,-1.04
201608,4.82,0.83
201708,3.55,-0.44
201808,4.20,0.21
201908,3.79,-0.20
202008,4.35,0.36
202108,3.73,-0.26
