Maryland, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.26,-0.03
195112,4.72,1.43
195212,3.32,0.03
195312,3.40,0.11
195412,3.18,-0.11
195512,0.50,-2.79
195612,3.46,0.17
195712,5.74,2.45
195812,1.83,-1.46
195912,3.44,0.15
196012,2.60,-0.69
196112,3.71,0.42
196212,3.15,-0.14
196312,2.16,-1.13
196412,3.68,0.39
196512,0.76,-2.53
196612,3.06,-0.23
196712,5.23,1.94
196812,2.38,-0.91
196912,6.94,3.65
197012,3.55,0.26
197112,1.63,-1.66
197212,5.52,2.23
197312,5.74,2.45
197412,5.16,1.87
197512,3.04,-0.25
197612,2.24,-1.05
197712,5.71,2.42
197812,4.54,1.25
197912,1.49,-1.80
198012,0.83,-2.46
198112,3.31,0.02
198212,2.31,-0.98
198312,6.28,2.99
198412,1.88,-1.41
198512,1.19,-2.10
198612,5.75,2.46
198712,2.71,-0.58
198812,1.04,-2.25
198912,1.57,-1.72
199012,4.91,1.62
199112,4.66,1.37
199212,4.45,1.16
199312,4.20,0.91
199412,2.09,-1.20
199512,2.38,-0.91
199612,6.32,3.03
199712,2.48,-0.81
199812,2.11,-1.18
199912,2.66,-0.63
200012,2.82,-0.47
200112,1.85,-1.44
200212,4.27,0.98
200312,4.90,1.61
200412,2.90,-0.39
200512,3.26,-0.03
200612,1.98,-1.31
200712,4.21,0.92
200812,4.77,1.48
200912,6.92,3.63
201012,2.28,-1.01
201112,3.64,0.35
201212,3.86,0.57
201312,5.08,1.79
201412,3.53,0.24
201512,4.57,1.28
201612,3.21,-0.08
201712,0.95,-2.34
201812,4.97,1.68
201912,3.60,0.31
202012,5.41,2.12
202112,1.09,-2.20
