Washington, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,7.22,0.75
195112,5.95,-0.52
195212,6.56,0.09
195312,8.06,1.59
195412,5.24,-1.23
195512,9.08,2.61
195612,6.57,0.10
195712,7.43,0.96
195812,6.69,0.22
195912,4.98,-1.49
196012,3.59,-2.88
196112,6.98,0.51
196212,4.94,-1.53
196312,5.19,-1.28
196412,8.59,2.12
196512,5.71,-0.76
196612,8.51,2.04
196712,6.44,-0.03
196812,8.12,1.65
196912,6.48,0.01
197012,8.21,1.74
197112,7.97,1.50
197212,8.81,2.34
197312,9.71,3.24
197412,7.94,1.47
197512,9.09,2.62
197612,2.75,-3.72
197712,9.61,3.14
197812,3.60,-2.87
197912,9.38,2.91
198012,8.49,2.02
198112,8.00,1.53
198212,7.59,1.12
198312,4.99,-1.48
198412,5.03,-1.44
198512,1.78,-4.69
198612,3.82,-2.65
198712,8.06,1.59
198812,4.19,-2.28
198912,3.63,-2.84
199012,5.42,-1.05
199112,4.47,-2.00
199212,5.12,-1.35
199312,5.86,-0.61
199412,7.74,1.27
199512,7.05,0.58
199612,11.63,5.16
199712,4.26,-2.21
199812,10.06,3.59
199912,7.13,0.66
200012,3.41,-3.06
200112,7.66,1.19
200212,7.36,0.89
200312,5.51,-0.96
200412,4.96,-1.51
200512,6.72,0.25
200612,6.85,0.38
200712,8.81,2.34
200812,5.71,-0.76
200912,3.39,-3.08
201012,7.70,1.23
201112,3.20,-3.27
201212,8.25,1.78
201312,2.94,-3.53
201412,6.23,-0.24
201512,11.42,4.95
201612,4.93,-1.54
201712,5.09,-1.38
201812,7.02,0.55
201912,5.58,-0.89
202012,6.06,-0.41
202112,6.38,-0.09
