New Jersey, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,3.77,0.07
195112,5.52,1.82
195212,4.32,0.62
195312,4.35,0.65
195412,3.68,-0.02
195512,0.40,-3.30
195612,4.14,0.44
195712,6.49,2.79
195812,1.56,-2.14
195912,4.12,0.42
196012,2.97,-0.73
196112,3.42,-0.28
196212,2.75,-0.95
196312,2.11,-1.59
196412,4.45,0.75
196512,1.70,-2.00
196612,3.94,0.24
196712,5.67,1.97
196812,3.38,-0.32
196912,7.16,3.46
197012,2.91,-0.79
197112,1.95,-1.75
197212,5.98,2.28
197312,7.45,3.75
197412,5.09,1.39
197512,2.82,-0.88
197612,2.41,-1.29
197712,5.89,2.19
197812,4.87,1.17
197912,2.08,-1.62
198012,0.81,-2.89
198112,4.30,0.60
198212,2.14,-1.56
198312,7.26,3.56
198412,2.68,-1.02
198512,1.51,-2.19
198612,5.73,2.03
198712,2.14,-1.56
198812,0.95,-2.75
198912,0.81,-2.89
199012,5.16,1.46
199112,4.01,0.31
199212,5.04,1.34
199312,4.64,0.94
199412,2.46,-1.24
199512,2.34,-1.36
199612,7.87,4.17
199712,3.91,0.21
199812,1.34,-2.36
199912,2.97,-0.73
200012,3.61,-0.09
200112,2.22,-1.48
200212,4.53,0.83
200312,5.76,2.06
200412,3.48,-0.22
200512,3.61,-0.09
200612,2.16,-1.54
200712,5.38,1.68
200812,6.44,2.74
200912,7.71,4.01
201012,3.27,-0.43
201112,4.21,0.51
201212,5.56,1.86
201312,4.74,1.04
201412,4.65,0.95
201512,4.84,1.14
201612,3.27,-0.43
201712,1.46,-2.24
201812,5.90,2.20
201912,5.32,1.62
202012,5.35,1.65
202112,1.26,-2.44
