Iowa, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.26,-1.03
195110,3.27,0.98
195210,0.02,-2.27
195310,0.48,-1.81
195410,4.16,1.87
195510,1.48,-0.81
195610,1.40,-0.89
195710,2.75,0.46
195810,0.92,-1.37
195910,2.94,0.65
196010,2.18,-0.11
196110,3.01,0.72
196210,2.81,0.52
196310,1.08,-1.21
196410,0.28,-2.01
196510,1.06,-1.23
196610,1.61,-0.68
196710,3.15,0.86
196810,3.48,1.19
196910,3.61,1.32
197010,4.06,1.77
197110,3.61,1.32
197210,3.10,0.81
197310,2.57,0.28
197410,2.90,0.61
197510,0.31,-1.98
197610,1.53,-0.76
197710,4.12,1.83
197810,1.31,-0.98
197910,3.68,1.39
198010,1.96,-0.33
198110,2.54,0.25
198210,3.33,1.04
198310,3.37,1.08
198410,5.25,2.96
198510,3.16,0.87
198610,3.77,1.48
198710,0.78,-1.51
198810,0.65,-1.64
198910,1.92,-0.37
199010,1.88,-0.41
199110,2.92,0.63
199210,1.63,-0.66
199310,1.31,-0.98
199410,1.93,-0.36
199510,2.00,-0.29
199610,2.74,0.45
199710,3.37,1.08
199810,4.83,2.54
199910,0.77,-1.52
200010,1.80,-0.49
200110,2.46,0.17
200210,3.58,1.29
200310,1.00,-1.29
200410,2.05,-0.24
200510,0.91,-1.38
200610,1.64,-0.65
200710,5.10,2.81
200810,3.26,0.97
200910,6.35,4.06
201010,0.91,-1.38
201110,0.74,-1.55
201210,2.98,0.69
201310,2.78,0.49
201410,3.17,0.88
201510,1.76,-0.53
201610,2.01,-0.28
201710,5.26,2.97
201810,4.63,2.34
201910,4.78,2.49
202010,1.90,-0.39
202110,5.04,2.75
