Wyoming, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,47.0,4.5
195110,40.3,-2.2
195210,44.9,2.4
195310,45.5,3.0
195410,42.0,-0.5
195510,44.6,2.1
195610,44.6,2.1
195710,42.4,-0.1
195810,44.5,2.0
195910,40.6,-1.9
196010,43.3,0.8
196110,40.4,-2.1
196210,46.1,3.6
196310,49.3,6.8
196410,44.1,1.6
196510,46.8,4.3
196610,41.0,-1.5
196710,44.2,1.7
196810,43.4,0.9
196910,35.0,-7.5
197010,37.5,-5.0
197110,39.4,-3.1
197210,41.5,-1.0
197310,44.7,2.2
197410,44.4,1.9
197510,42.6,0.1
197610,40.2,-2.3
197710,44.2,1.7
197810,43.9,1.4
197910,45.1,2.6
198010,42.6,0.1
198110,40.7,-1.8
198210,40.3,-2.2
198310,44.7,2.2
198410,37.8,-4.7
198510,41.2,-1.3
198610,42.3,-0.2
198710,43.8,1.3
198810,47.4,4.9
198910,42.7,0.2
199010,42.1,-0.4
199110,41.8,-0.7
199210,45.3,2.8
199310,41.2,-1.3
199410,41.5,-1.0
199510,40.2,-2.3
199610,41.8,-0.7
199710,42.8,0.3
199810,43.2,0.7
199910,45.0,2.5
200010,43.1,0.6
200110,43.1,0.6
200210,37.4,-5.1
200310,47.0,4.5
200410,43.6,1.1
200510,45.1,2.6
200610,40.6,-1.9
200710,44.2,1.7
200810,42.9,0.4
200910,35.1,-7.4
201010,47.1,4.6
201110,44.8,2.3
201210,41.6,-0.9
201310,39.3,-3.2
201410,46.9,4.4
201510,48.7,6.2
201610,46.5,4.0
201710,41.1,-1.4
201810,41.0,-1.5
201910,34.2,-8.3
202010,41.2,-1.3
202110,43.8,1.3
