Texas, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,54.4,-0.2
195111,51.8,-2.8
195211,52.7,-1.9
195311,53.6,-1.0
195411,54.8,0.2
195511,54.0,-0.6
195611,52.2,-2.4
195711,51.0,-3.6
195811,55.3,0.7
195911,49.1,-5.5
196011,56.1,1.5
196111,51.3,-3.3
196211,54.9,0.3
196311,56.7,2.1
196411,57.0,2.4
196511,60.7,6.1
196611,58.6,4.0
196711,55.3,0.7
196811,52.9,-1.7
196911,53.4,-1.2
197011,52.6,-2.0
197111,55.9,1.3
197211,48.8,-5.8
197311,59.9,5.3
197411,53.6,-1.0
197511,55.4,0.8
197611,47.8,-6.8
197711,56.8,2.2
197811,56.5,1.9
197911,51.2,-3.4
198011,52.1,-2.5
198111,57.5,2.9
198211,54.7,0.1
198311,57.5,2.9
198411,54.5,-0.1
198511,57.6,3.0
198611,53.8,-0.8
198711,55.0,0.4
198811,58.1,3.5
198911,56.9,2.3
199011,58.3,3.7
199111,50.9,-3.7
199211,51.8,-2.8
199311,51.0,-3.6
199411,58.0,3.4
199511,55.9,1.3
199611,55.9,1.3
199711,52.5,-2.1
199811,58.5,3.9
199911,59.6,5.0
200011,51.1,-3.5
200111,58.9,4.3
200211,53.0,-1.6
200311,58.0,3.4
200411,55.7,1.1
200511,58.7,4.1
200611,57.9,3.3
200711,57.6,3.0
200811,56.8,2.2
200911,57.3,2.7
201011,56.6,2.0
201111,56.9,2.3
201211,59.0,4.4
201311,52.9,-1.7
201411,51.5,-3.1
201511,57.3,2.7
201611,61.0,6.4
201711,60.3,5.7
201811,51.9,-2.7
201911,53.2,-1.4
202011,60.6,6.0
202111,57.3,2.7
